CookerStat, GenerateAssetRegistry=0.064317, Initialize=0.256952, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdEE9F59A34CCE52DF238587A4818E6770_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2A49AB004AB1620BBE680A8AFCB6AA14__1_0_13123_0, StartTime=2016.07.30-00.18.14, HierarchicalDDC=, DataSize=4041, Duration=3.668033, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdFCB2F5144541C97F01120392B33F9894_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F6211B77429B9F5157A6B4A35ADC6842__1_0_13123_0, StartTime=2016.07.30-00.18.14, HierarchicalDDC=, DataSize=2989, Duration=3.173012, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionId95D1E10240BB8710F91CB48E4E05F512_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_32A071C74F73FC40562491BBA8B7597E__1_0_13123_0, StartTime=2016.07.30-00.18.14, HierarchicalDDC=, DataSize=4092, Duration=2.827101, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdEE9F59A34CCE52DF238587A4818E6770_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D30B7C8040DC2C8F468608BEAEFA817B__1_0_13123_0, StartTime=2016.07.30-00.18.14, HierarchicalDDC=, DataSize=2437, Duration=2.559911, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdFCB2F5144541C97F01120392B33F9894_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_00BA61D845E216CE8C8FB389E9F83E68__1_0_13123_0, StartTime=2016.07.30-00.18.14, HierarchicalDDC=, DataSize=4252, Duration=3.158614, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionId95D1E10240BB8710F91CB48E4E05F512_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9D03C48941F31AD4A5ABD89A01E8115B__1_0_13123_0, StartTime=2016.07.30-00.18.14, HierarchicalDDC=, DataSize=5867, Duration=3.521796, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdEE9F59A34CCE52DF238587A4818E6770_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1849B2C14E0F3000D78143BCC03A7CED__1_0_13123_0, StartTime=2016.07.30-00.18.14, HierarchicalDDC=, DataSize=2709, Duration=3.207248, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdFCB2F5144541C97F01120392B33F9894_22, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D2D005B44AB8022FEBB3D1A723929360__1_0_13123_0, StartTime=2016.07.30-00.18.14, HierarchicalDDC=, DataSize=3498, Duration=3.041495, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionId95D1E10240BB8710F91CB48E4E05F512_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2BCE78C349177C3E1AD6179620F729A6__1_0_13123_0, StartTime=2016.07.30-00.18.14, HierarchicalDDC=, DataSize=4017, Duration=3.550276, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdEE9F59A34CCE52DF238587A4818E6770_22, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FAF561744CEBE9F86A5EC4A13E450287__1_0_13123_0, StartTime=2016.07.30-00.18.14, HierarchicalDDC=, DataSize=3868, Duration=4.907992, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
